,Title,Reviews,Ratings,Company Type,Salaries,Total Interviews,Total Jobs,Founded Year,Company Age,Websites
473,Team Computers,1.7k,3.6,IT Services & Consulting,8.1k,106,128,1987,38,"teamcomputers.comPrimary IndustryIT Services & ConsultingOther Industries--Replay videoView in video summaryTeam Computers is a bridge between business needs and the world of IT solutions. We see ourselves as a trusted solutions partner. We understand your needs, Identify-Integrate-Support High-quality, affordable IT Solutions in Hardware, Software, Services, Mobility, Analytics, and Cloud with Speed, Flexibility, and an attitude of Sewa.Founded in 1987 by Ranjan Chopra, an alumnus of IIT-Kanpur, it has emerged as a leading IT Infrastructure and Information Solution Provider in the last three decades.With a turnover of 3000+ Cr, having 25+ offices across India, and 4,000+ members, we have served 2500+ customers over a span of 36+ years.Mission: Provide an opportunity for growth, inspire excellence, value people and serve with pride. A platform to dream, think, and create solutions.Vision: We are a place where people with ideas and a zeal to implement them, come together. A place where individuals are able to take success and failures in their stride. A platform where people challenge their own limits and extend their horizons.Team Computers RatingsView allbased on 1.7k reviewsOverall Rating3.6/5How AmbitionBox ratings work?56494393322621281262Category Ratings3.6Work-life balance3.5Company culture3.5Skill development3.4Job security3.4Salary3.4Work satisfaction3.1PromotionsTeam Computers is rated 3.6 out of 5 stars on AmbitionBox, based on 1.7k company reviews.This rating reflects an average employee experience, indicating moderate satisfaction with the company’s work culture, benefits, and career growth opportunities. AmbitionBox gathers authentic employee reviews and ratings, making it a trusted platform for job seekers and employees in India.Read moreGender Based Ratings at Team Computersbased on 1.6k reviews3.8Rated by 200 WomenRated 3.7 for Work-life balance and 3.6 for Company culture 3.6Rated by 1.4k MenRated 3.5 for Work-life balance and 3.5 for Company culture Work Policy at Team Computers based on 316 reviews in last 6 monthsWork from office74%Hybrid21%Permanent work from home5%Team Computers ReviewsView allTop mentions in Team Computers ReviewsSalary (250)Senior Management (169)Appraisal (95)Work Culture (91)Work Environment (90)+ 5 moreLikes:Only flexible apart from that totally waste if u want to spoil your career and etcDislikes:Managar  Anuj rude and arrogant behaviour talk like he own the co...Desktop Engineer in ChennaiHardware1.0 • posted on 27 Mar 2025Likes:Only flexible apart from that totally waste if u want to spoil your career and etcJob security - Excellent+1 moreDislikes:Managar  Anuj rude and arrogant behaviour talk like he own the co...Salary - Bad+4 moreLikes:I’m sitting in clients location.team computer is best place to work. The leadership’s is very supportive and the wo...Dislikes:I’m sitting in Client locationProject Coordinator in Navi MumbaiTechnology / IT5.0 • posted on 25 Mar 2025Likes:I’m sitting in clients location.team computer is best place to work. The leadership’s is very supportive and the wo...Salary - Excellent+6 moreDislikes:I’m sitting in Client locationLikes:The company fosters a positive and inclusive culture where employees feel valued and supported. The team is friendl...Dislikes:The salary hike provided by the HR team was not aligned with the...Executive in Gurgaon / GurugramIT Infrastructure Services4.0 • posted on 12 Mar 2025Likes:The company fosters a positive and inclusive culture where employees feel valued and supported. The team is friendl...Skill development - Good+5 moreDislikes:The salary hike provided by the HR team was not aligned with the...Likes:If fortunately get good client then life is good.  And job is secure.Dislikes:Managers do micro management and they have all the power. They co...Data Analyst in Gurgaon / GurugramBusiness Intelligence & Analytics3.0 • posted on 16 Feb 2025Likes:If fortunately get good client then life is good.  And job is secure.Job security - Good+2 moreDislikes:Managers do micro management and they have all the power. They co...Salary - Poor+2 moreLikes:Every thing is ok but some staffs are not good they do parcelity towords the juniors.Dislikes:About company everything is ok in amc department nothing is good...Partner Management Executive in New DelhiCSR & Sustainability5.0 • posted on 11 Feb 2025Likes:Every thing is ok but some staffs are not good they do parcelity towords the juniors.Salary - Excellent+2 moreDislikes:About company everything is ok in amc department nothing is good...Job security - Bad+3 moreLikes:Providing work flexibility and ensuring a timely salary process are key priorities . The leadership team at team co...Dislikes:None.Management Trainee in New DelhiRecruitment & Talent Acquisition4.0 • posted on 08 Feb 2025Likes:Providing work flexibility and ensuring a timely salary process are key priorities . The leadership team at team co...Salary - Good+6 moreDislikes:None.Likes:The Team computers provide work flexibility and ensures timely salary payments. It fosters a positive work culture...Dislikes:Not applicableLead Talent Acquisition in MumbaiRecruitment & Talent Acquisition5.0 • posted on 06 Feb 2025Likes:The Team computers provide work flexibility and ensures timely salary payments. It fosters a positive work culture...Salary - Good+6 moreDislikes:Not applicableLikes:Working with Team Computers is a joy full of incredible experience. The chance to be involved in tech solutions and...Dislikes:HR Trainee in New DelhiRecruitment & Talent Acquisition5.0 • posted on 03 Feb 2025Likes:Working with Team Computers is a joy full of incredible experience. The chance to be involved in tech solutions and...Salary - Excellent+6 moreLikes:The work environment here is great! Everyone is supportive, team work is encouraged, and leadership is always there...Dislikes:NoneSenior Talent Acquisition Executive in MumbaiRecruitment & Talent Acquisition5.0 • posted on 03 Feb 2025Likes:The work environment here is great! Everyone is supportive, team work is encouraged, and leadership is always there...Salary - Good+6 moreDislikes:NoneLikes:salary comes on timeDislikes:policy partiality, no skill development, cost cutting in very sma...Navision Technical Consultant in New DelhiSoftware Development2.0 • posted on 02 Feb 2025Likes:salary comes on timeWork-life balance - GoodDislikes:policy partiality, no skill development, cost cutting in very sma...Skill development - Bad+3 moreCompare Team Computers with Similar CompaniesTeam ComputersKocharTechChange CompanyCMS IT ServicesChange CompanyITC Infotech Change CompanyOverall Rating3.6/5based on 1.7k reviews3.9/5based on 2.2k reviews3.1/5based on 2.7k reviews3.6/5based on 3.6k reviewsHighly Rated forNo highly rated categorySkill developmentWork-life balanceJob securityNo highly rated categoryNo highly rated categoryCritically Rated forPromotionsNo critically rated categoryPromotionsSalaryCompany culturePromotionsSalary"
474,JK Tyres,1.6k,3.6,Auto Components,6.6k,98,2,1951,74,jktyre.com
475,Novartis,1.7k,4.1,Pharma,8.9k,146,281,1996,29,"novartis.comPrimary IndustryPharmaOther IndustriesHealthcareAre you managing Novartis's employer brand? To edit company information,claim this page for freeReplay videoView in video summaryHeadquartered in Basel, Switzerland, we are a leading global medicines company. We discover and develop breakthrough treatments and find new ways to deliver them to as many people as possible. We use innovative science and digital technologies to create transformative treatments in areas of great medical need.In our quest to find new medicines, we consistently rank among the world’s top companies investing in research and development. We also aim to reward those who invest their money, time, and ideas in our company.At Novartis, we use science-based innovation to address some of society’s most challenging healthcare issues. Building trust with society with responsibility is a key pillar of the Novartis corporate strategy. It defines our approach to managing our key Environment, "
476,Mercedes-Benz Research and Development India,1.7k,3.8,IT Services & Consulting,15.7k,185,3,1996,29,mbrdi.co.in Career pagehttps://jobs.mercedes-benz.com/en?en=&parentorganization=[140]&positionlocation.country=[390] Company contact no.8061506600 E-mailmbrdi_ehs@mercedes-benz.com 
477,IDBI Bank,1.6k,3.5,Banking,5.7k,71,--,1964,61,idbi.com
478,BNP Paribas,1.7k,3.8,Financial Services,14.9k,183,27,1848,177,group.bnpparibas
479,NCR Corporation,1.6k,3.7,IT Services & Consulting,8.5k,129,301,1884,141,ncrvoyix.com
480,Parle Products,1.6k,3.9,FMCG,3.6k,93,9,1929,96,parleproducts.com
481,Sterling & Wilson,1.6k,4.1,Engineering & Construction,7.6k,66,23,1927,98,sterlingandwilson.com
482,TaskUs,1.7k,3.3,BPO,7.2k,178,287,2008,17,taskus.com
483,Lucas-TVS,1.6k,3.9,Auto Components,5.8k,75,3,1962,63,lucas-tvs.com
484,Reliance General Insurance,1.6k,3.7,Insurance,6.9k,82,6,2000,25,reliancegeneral.co.in
485,Microland,1.6k,3.4,IT Services & Consulting,11k,135,469,1989,36,microland.com
486,Uflex,1.6k,3.8,Packaging,6.6k,110,65,1985,40,uflexltd.com Company contact no.01204012345 E-mailenquiry@uflexltd.com 
487,Paisabazaar.com,1.6k,3.4,Internet,6.7k,144,57,2014,11,paisabazaar.com 
488,Thomson Reuters,1.6k,4.1,Software Product,10.3k,115,253,2008,17,thomsonreuters.com 
489,Kalyan Jewellers,1.6k,4.6,Jewellery,1.4k,60,15,1993,32,kalyanjewellers.net
490,FirstCry,1.6k,3.6,Internet,8.3k,175,23,2010,15,firstcry.com
491,SGS,1.6k,3.9,Other,6k,99,41,1878,147,sgs.com
492,Daikin,1.6k,4.1,Consumer Electronics & Appliances,6.7k,155,6,2000,25,daikin.com
493,Morgan Stanley,1.6k,3.7,Financial Services,21.6k,297,1,1931,94,morganstanley.com
494,Hindustan Aeronautics,1.6k,4.3,Defence & Aerospace,4.2k,74,--,1940,85,hal-india.co.in
495,Infinite Computer Solutions,1.6k,3.4,IT Services & Consulting,12.7k,150,185,2001,24,infinite.com 
496,Philips,1.6k,3.8,Consumer Electronics & Appliances,10.3k,160,119,1930,95,philips.com
497,Dr Lal PathLabs,1.6k,4.2,Healthcare,4.4k,130,58,1949,76,lalpathlabs.com
498,Honeywell Automation,1.6k,3.8,Industrial Automation,11.4k,104,1,1906,119,honeywell.com
499,Nuvoco Vistas,1.6k,4.1,Building Material,6.2k,99,20,2014,11,nuvoco.com 
